ano,mes,dia,hora,convidado,onde,
2016,7,7,10:00,Deputado Benito Gama (PTB/BA),Palácio do Planalto,
2016,7,7,10:30,Deputado Ricardo Tripoli (PSDB/SP),Palácio do Planalto,
2016,7,7,11:30,Marcelo Porto - Presidente da IBM do Brasil,Palácio do Planalto,
2016,7,7,16:00,Alarico Assumpção Júnior - Presidente da Federação Nacional da Distribuição de Veículos Automotores - Fenabrave,Palácio do Planalto,
2016,7,7,17:00,Osmar Terra - Ministro de Estado do Desenvolvimento Social e Agrário,Palácio do Planalto,
2016,7,7,18:30,"Gilberto Kassab - Ministro da Ciência, Tecnologia, Inovações e Comunicações",Palácio do Planalto,
2016,7,7,19:00,Helder Barbalho - Ministro da Integração Nacional,Palácio do Planalto,
2016,7,7,20:00,Fernando Coelho Filho - Ministro de Minas e Energia,Palácio do Planalto,
2016,7,8,10:00,Reunião do Comitê de Líderes da Mobilização Empresarial pela Inovação (MEI),CNI - Brasília/DF,
2016,7,8,15:00,Robson Rodovalho - Presidente da Confederação dos Conselhos de Pastores do Brasil - CONCEPAB,Palácio do Planalto,
2016,7,11,11:00,Deputado José Carlos Aleluia (PSDB/BA) e Deputado Rubens Bueno (PPS/PR),Palácio do Planalto,
2016,7,11,12:35,"Henrique Meirelles, ministro da Fazenda e Maurício Quintella, ministro dos Transportes, Portos e Aviação Civil",Palácio do Planalto,
2016,7,11,14:35,Deputado Pauderney Avelino (DEM/AM),Palácio do Planalto,
2016,7,11,16:00,"Mendonça Filho, ministro da Educação; senador Cristovam Buarque (PPS/DF); Paulo Rogério Cafarelli, presidente do Banco do Brasil; Gilberto Occhi, presidente da Caixa Econômica Federal e Guilherme Campos, presidente dos Correios",Palácio do Planalto,
2016,7,11,18:30,Senador Hélio José (PMDB/DF),Palácio do Planalto,
2016,7,12,12:30,Almoço com a Frente Parlamentar Agropecuária (FPA),Brasília/DF,
2016,7,12,16:00,Bancada do Rio Grande do Sul no Congresso Nacional,Palácio do Planalto,
2016,7,12,16:30,Reunião com Ministros do Núcleo Social,Palácio do Planalto,
2016,7,13,10:00,Senador Benedito de Lira (PP/AL),Palácio do Planalto,
2016,7,13,10:30,Confederação Nacional de Municípios,Palácio do Planalto,
2016,7,13,11:30,Cerimônia de apresentação da Delegação de Atletas Olímpicos,Palácio do Planalto,
2016,7,13,16:00,"Senador Davi Alcolumbre (DEM/AP) e Waldez Góes (PDT/AP), governador do Amapá",Palácio do Planalto,
2016,7,13,19:30,"Marcos Pereira - Ministro da Indústria, Comércio Exterior e Serviços",Palácio do Planalto,
2016,7,14,10:27,Marcelo Calero - Ministro da Cultura,Palácio do Planalto,
2016,7,14,10:50,Senador Telmário Mota (PDT/RR) e Senador Zezé Perrella (PTB/MG),Palácio do Planalto,
2016,7,14,11:06,Cerimônia de anúncio de nova norma do Programa Minha Casa Minha Vida,Palácio do Planalto,
2016,7,14,11:20,"Deputado André Moura, (PSC/SE), Líder do governo na Câmara dos Deputados e senadores Eduardo Amorim (PSC/SE) e Antônio Carlos Valadares (PSB/SE)",Palácio do Planalto,
2016,7,14,12:06,"Rodrigo Maia (DEM/RJ), presidente da Câmara dos Deputados e Renan Calheiros, presidente do Senado (PMDB/AL)",Palácio do Planalto,
2016,7,14,12:55,Senadora Rose de Freitas (PMDB/ES),Palácio do Planalto,
2016,7,14,15:00,Presidentes das Assembleias Legislativas Estaduais e Distrital,Palácio do Planalto,
2016,7,15,16:00,"Eliseu Padilha, Almirante-de-Esquadra Ademir Sobrinho, General Sérgio Westphalen Etchegoyen",,
