ano,mes,dia,hora,quem,,onde,
2018,1,30,19:45,"Torquato Jardim, ministro de Estado da Justiça e Segurança Pública",,"
Palácio do Planalto",
2018,1,30,20:05,"Wellington Moreira Franco, ministro-chefe da Secretaria-Geral da Presidência da República e Senador Romero Jucá (MDB/RR), líder do Governo no Senado",,"
Palácio do Planalto",
2018,1,31,10:30,"Manoel Junior, vice-prefeito de João Pessoa",,"
Palácio do Jaburu",
2018,1,31,12:10,Deputado Danilo Forte (DEM/CE),,"
Palácio do Planalto",
2018,1,31,15:00,Cerimônia de Contratação de Novas Áreas no Pré-Sal,,"
Palácio do Planalto",
2018,1,31,16:00,"Dyogo Oliveira, ministro de Estado do Planejamento, Desenvolvimento e Gestão e Senador José Serra (PSDB/SP)",,"
Palácio do Planalto",
2018,1,31,16:15,"Ministra Grace Maria Mendonça, Advogada Geral da União",,"
Palácio do Planalto",
2018,1,31,16:30,"Almirante de Esquadra Eduardo Bacellar Leal Ferreira, Comandante da Marinha",,"
Palácio do Planalto",
2018,1,31,17:45,"José Sarney, ex-presidente da República",,"
Palácio do Planalto",
2018,1,31,18:30,"Eliseu Padilha, ministro de estado chefe da Casa Civil da Presidência da República e Deputado Andre Moura (PSC/SE), líder do Governo no Congresso Nacional",,"
Palácio do Planalto",
2018,1,31,19:40,"Osmar Terra, ministro de estado do Desenvolvimento Social",,"
Palácio do Planalto",
2018,2,1,09:00,Sessão Especial de Abertura do Ano Judiciário de 2018,,"
Brasília/DF",
2018,2,1,10:00,Evento CAIXA 2018,,"
Brasília/DF",
2018,2,1,12:00,Deputado Darcísio Perondi (MDB/RS) e Deputado Rogério Rosso (PSD/DF),,"
Palácio do Planalto",
2018,2,1,16:00,"Sergio Etchegoyen, ministro de Estado Chefe do Gabinete de Segurança Institucional da Presidência da República",,"
Palácio do Planalto",
2018,2,1,16:15,Deputado Beto Mansur (PRB/SP) e Deputado Fábio Ramalho (MDB/MG),,"
Palácio do Planalto",
2018,2,1,16:45,"Rodrigo Maia, presidente da Câmara dos Deputados",,"
Palácio do Planalto",
