ano,mes,dia,hora,quem,onde,,
2017,1,25,18:50,José Serra - Ministro de Estado das Relações Exteriores,"
Palácio do Planalto",,
2017,1,25,19:30,Deputado Tadeu Alencar (PSB/PE),"
Palácio do Planalto",,
2017,1,25,19:50,"Deputado Rogério Rosso (PSD/DF), líder do PSD na Câmara dos Deputados","
Palácio do Planalto",,
2017,1,26,10:00,"Marcos Pereira - ministro de Estado da Indústria, Comércio Exterior e Serviços","
Palácio do Planalto",,
2017,1,26,11:30,"José Ronaldo de Carvalho, prefeito de Feira de Santana/BA e Colbert Martins da Silva Filho, vice-prefeito de Feira de Santana/BA","
Palácio do Planalto",,
2017,1,26,12:00,"José Carlos Martins, presidente da Câmara Brasileira da Indústria da Construção - CBIC","
Palácio do Planalto",,
2017,1,26,15:00,"Luiz Fernando Pezão, Governador do estado do Rio de Janeiro e Henrique Meirelles, Ministro de Estado da Fazenda","
Palácio do Planalto",,
2017,1,26,16:30,"Deputado Jovair Arantes (PTB/GO), líder do PTB na Câmara dos Deputados","
Palácio do Planalto",,
2017,1,26,18:30,Chanceler José Serra - Ministro de Estado das Relações Exteriores,"
Palácio do Planalto",,
2017,1,26,19:30,"Gilberto Kassab - Ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações","
Palácio do Planalto",,
2017,1,26,20:00,"Senador Romero Jucá (PMDB/RR), líder do governo no Congresso Nacional","
Palácio do Planalto",,
2017,1,26,20:30,Senador Thieres Pinto (PDT/RR),"
Palácio do Planalto",,
2017,1,26,20:40,Ricardo Barros - Ministro de Estado da Saúde,"
Palácio do Planalto",,
2017,1,27,10:00,Despachos internos,,,
2017,1,29,18:00,Cerimônia do Dia Internacional em Memória das Vítimas do Holocausto,"
São Paulo/SP",,
2017,1,30,07:00,Embarque para o Estado de Pernambuco- PE,"
Base Aérea de Brasília",,
2017,1,30,09:00,Cerimônia de Inauguração da Estação de Bombeamento EBV-3 do Eixo     Leste do PISF e Assinatura da Ordem de Serviço para elaboração do Projeto do Ramal do Agreste Pernambucano,"
Floresta- PE",PE,
2017,1,30,11:00,Cerimônia de Inauguração do novo Campus de Serra Talhada do Instituto Federal do Sertão Pernambucano ,"
PE-320, Km 4, Zona Rural, Serra Talhada/PE",PE,
2017,1,31,08:15,Embarque para São Paulo/SP,"
Base Aérea de Brasília",SP,
2017,1,31,10:00,Cerimônia de abertura do 2017 Latin America Investment Conference,"
Grand Hyan Hotel",SP,
2017,1,31,12:40,Embarque para Brasília/DF,"
Grand Hyan Hotel",SP,
2017,1,31,15:30,Gilberto Occhi - presidente da Caixa Econômica Federal,"
Palácio do Planalto",,
2017,1,31,18:10,Alexandre de Moraes - Ministro de Estado da Justiça e Cidadania,"
Palácio do Planalto",,
2017,1,31,18:30,Henrique Meirelles - Ministro de Estado da Fazenda,"
Palácio do Planalto",,
2017,1,31,19:00,Senador José Aníbal (PSDB/SP),"
Palácio do Planalto",,
2017,1,31,19:30,"Blairo Maggi - Ministro de Estado da Agricultura, Pecuária e Abastecimento","
Palácio do Planalto",,
2017,2,1,09:30,"Augusto Nardes, Ministro do TCU","
Palácio do Planalto",,
2017,2,1,10:00,"Antônio Andrade, vice-governador de Minas Gerais","
Palácio do Planalto",,
2017,2,1,10:30,Senador Aécio Neves (PSDB/MG),"
Palácio do Planalto ",,
2017,2,1,11:00,Deputado Waldir Maranhão (PP/MA),"
Palácio do Planalto",,
2017,2,1,11:30,Senador Acir Gurgacz (PDT/RO),"
Palácio do Planalto",,
2017,2,1,12:00,Senador Valdir Raupp (PMDB/RO),"
Palácio do Planalto",,
2017,2,1,16:30,"Roberto Freire, Ministro da Cultura","
Palácio do Planalto ",,
2017,2,1,17:30,"Deputado André Moura (PSC/SE), líder do governo na Câmara dos Deputados","
Palácio do Planalto ",,
2017,2,1,18:00,"Eduardo Pinho Moreira, vice-governador de Santa Catarina","
Palácio do Planalto ",,
2017,2,2,11:00,Reunião de trabalho com ministros,"
Palácio do Planalto ",,
2017,2,2,15:30,Deputado Paulinho da Força (SD/SP),"
Palácio do Planalto",,
2017,2,2,15:50,Deputado Jovair Arantes (PTB/GO),"
Palácio do Planalto",,
2017,2,2,19:00,Senador Aécio Neves (PSDB/MG),"
Palácio do Planalto",,
2017,2,3,11:00,"Cerimônia de posse dos ministros da Justiça e Segurança Pública, Alexandre de Moraes; dos Direitos Humanos, Luislinda Valois; da Secretaria de Governo da Presidência da República, Antônio Imbassahy e da Secretaria-Geral da Presidência da República, Wellington Moreira Franco ","
Palácio do Planalto",,
2017,2,3,12:00,"Movimentos Democráticos do Brasil: Instituto Resgata Brasil, Movimento Mulheres pela Independência, Mais Brasil Eu Acredito, Movimentos Nas Ruas/Rio Livre, Avança Brasil Maçons e Movimento Brasil","
Palácio do Planalto",,
2017,2,3,16:00,Senador Telmário Mota (PDT/RR) e Senador Thieres Pinto (PTB/RR),"
Palácio do Planalto",,
2017,2,3,16:30,"Senador Renan Calheiros, Líder do PMDB no Senado","
Palácio do Planalto",,
2017,2,3,19:00,José Serra - Ministro de Estado das Relações Exteriores,"
Palácio do Planalto",,
2017,2,3,20:00,"Henrique Meirelles, Ministro de Estado da Fazenda e Grace Maria Fernandes Mendonça, Advogada-Geral da União","
Palácio do Planalto",,
2017,2,6,10:00,Despachos internos,"
Palácio do Planalto",,
2017,2,6,11:00,Conselho da Associação Brasileira de Incorporadoras Imobiliárias – ABRAINC,"
Palácio do Planalto",,
2017,2,6,16:00,Cerimônia de Anúncio de Novas Medidas para o Programa Minha Casa Minha Vida 2017,"
Palácio do Planalto",,
2017,2,7,11:00,"Cerimônia oficial de chegada do presidente da República Argentina, Mauricio Macri","
Palácio do Planalto",ARG,
2017,2,7,11:20,Reunião bilateral ampliada,"
Palácio do Planalto",ARG,
2017,2,7,12:30,Assinatura de Atos,"
Palácio do Planalto",ARG,
2017,2,7,12:40,Declaração à imprensa,"
Palácio do Planalto",ARG,
2017,2,7,13:00,"Almoço oferecido ao presidente da República Argentina, Mauricio Macri","
Palácio Itamaraty",ARG,
2017,2,7,16:00,Assinatura da ordem de reinício de obras no estado de Sergipe,"
Palácio do Planalto",,
2017,2,8,10:00,"Rodrigo Rollemberg, governador do Distrito Federal; Paulo Câmara, governador de Pernambuco; Márcio França, vice-governador de São Paulo; senador Fernando Bezerra Coelho, líder do PSB no Senado; deputada Tereza Cristina, líder do PSB na Câmara dos Deputados; Carlos Siqueira, presidente nacional do PSB","
Palácio do Planalto",,
2017,2,8,11:00,Cerimônia de Anúncio de Recursos para Merenda Escolar,"
Palácio do Planalto",,
2017,2,8,12:00,"Dyogo Oliveira, Ministro do Planejamento, Desenvolvimento e Gestão","
Palácio do Planalto",,
2017,2,8,12:45,Deputado Danilo Forte (PSB/CE),"
Palácio do Planalto",,
2017,2,8,13:00,Bancada Feminina da Câmara dos Deputados,"
Palácio do Planalto",,
2017,2,8,15:00,Deputado Rodrigo Maia (DEM/RJ) - Presidente da Câmara dos Deputados,"
Palácio do Planalto",,
2017,2,8,15:45,Senador Aécio Neves (PSDB/MG),"
Palácio do Planalto",,
2017,2,8,16:30,Flávia Piovesan - Secretária Nacional de Direitos Humanos - SDH/MJ,"
Palácio do Planalto",,
2017,2,8,17:00,Fernando Coelho Filho - Ministro de Estado de Minas e Energia,"
Palácio do Planalto",,
2017,2,8,17:30,Marx Beltrão Lima Siqueira - Ministro de Estado do Turismo,"
Palácio do Planalto",,
2017,2,8,18:00,Ronaldo Nogueira - Ministro de Estado do Trabalho,"
Palácio do Planalto",,
2017,2,8,18:30,José Serra - Ministro de Estado das Relações Exteriores,"
Palácio do Planalto",,
2017,2,9,09:00,Abertura do evento CAIXA 2017,"
Hotel Royal Tulip Brasília Alvorada - Brasília/DF",,
2017,2,9,10:45,"Fernando Pimentel, governador de Minas Gerais e Odair Cunha, secretário de estado de governo de Minas Gerais","
Palácio do Planalto ",,
2017,2,9,18:00,"José Serra, ministro de Estado das Relações Exteriores","
Palácio do Planalto ",,
2017,2,9,18:30,"Deputada Rosângela Gomes (PRB/RJ) e Rogério Lisboa, prefeito de Nova Iguaçu/RJ","
Palácio do Planalto ",,
2017,2,10,10:00,Despachos internos,,,
2017,2,13,10:00,Despachos internos,"
Palácio do Planalto ",,
2017,2,13,11:00,"Luiz Fernando Pezão, governador do estado do Rio de Janeiro","
Palácio do Planalto",,
2017,2,13,14:30,"Senador Romero Jucá (PMDB/RR), líder do Governo no Congresso Nacional, deputado Baleia Rossi (PMDB/SP), líder do PMDB na Câmara dos Deputados","
Palácio do Planalto",,
2017,2,13,15:15,"Deputado Rodrigo Maia (DEM/RJ), presidente da Câmara dos Deputados","
Palácio do Planalto",,
2017,2,13,17:30,Henrique Meirelles - Ministro de Estado da Fazenda,"
Palácio do Planalto",,
2017,2,14,10:30,"Tenente-Brigadeiro Ar William de Oliveira Barros, Presidente do  Superior Tribunal Militar – STM","
Palácio do Planalto",,
2017,2,14,11:00,Cerimônia de Anúncio do Calendário de Saque de Contas Inativas do FGTS,"
Palácio do Planalto",,
2017,2,14,13:00,Reunião dos Grupos de Trabalho do Comitê Gestor do CDES “Ambiente de  Negócios; Educação Básica e Agronegócio”,"
Enap - Brasília",,
2017,2,14,14:20,"Paulo Rogério Caffarelli, Presidente do Banco do Brasil","
Palácio do Planalto",,
2017,2,14,14:30,Senador Aécio Neves (PSDB/MG),"
Palácio do Planalto",,
2017,2,14,15:30,"Deputado Baleia Rossi (PMDB/SP), líder do PMDB na Câmara","
Palácio do Planalto",,
2017,2,14,15:40,"Antônio Imbassahy, Ministro-Chefe da Secretaria de Governo da PR e  Reinaldo Azambuja, Governador do Estado do Mato Grosso do Sul","
Palácio do Planalto",,
2017,2,14,17:00,"Carlos Velloso, ex-ministro do STF","
Palácio do Planalto",,
2017,2,14,17:30,Gaudêncio Torquato,"
Palácio do Planalto",,
2017,2,14,20:30,"Senador Eunício de Oliveira (PMDB/CE), Presidente do Senado Federal","
Palácio do Planalto",,
2017,2,14,21:00,Solenidade de posse da nova diretoria da Frente Parlamentar da  Agropecuária - FPA,"
Dúnia City Hall",,
2017,2,15,11:30,Cerimônia de Anúncio da liberação de milho dos estoques governamentais para venda a criadores e agroindústrias de pequeno porte do nordeste,"
Palácio do Planalto",,
2017,2,15,12:15,Deputado Baleia Rossi (PMDB/SP),"
Palácio do Planalto",,
2017,2,15,15:00,Dom Giovanni d'Aniello - Núncio Apostólico no Brasil,"
Palácio do Planalto",,
2017,2,15,17:00,Rodrigo Janot - Procurador-Geral da República,"
Palácio do Planalto",,
2017,2,15,17:30,Sarney Filho - Ministro de Estado do Meio Ambiente,"
Palácio do Planalto",,
2017,2,15,18:00,"Senador Renan Calheiros, Líder do PMDB no Senado Federal","
Palácio do Planalto",,
2017,2,16,09:45,"Dyogo Oliveira, ministro interino do Planejamento, Desenvolvimento e Gestão","
Palácio do Planalto",,
2017,2,16,11:00,Cerimônia de Sanção da Lei do Novo Ensino Médio,"
Palácio do Planalto",,
2017,2,16,12:25,"Senador Eunício Oliveira, presidente do Senado Federal","
Palácio do Planalto",,
2017,2,16,12:45,"Antônio Imbassahy, Ministro de Estado Chefe da Secretaria de Governo da Presidência da República","
Palácio do Planalto",,
2017,2,16,13:45,"Henrique Meirelles, Ministro da Fazenda","
Palácio do Planalto",,
2017,2,16,15:00,Senador Fernando Collor (PTC/AL),"
Palácio do Planalto",,
2017,2,16,15:30,"Marcelo Miranda, governador de Tocantins","
Palácio do Planalto",,
2017,2,16,16:00,Deputado Benito Gama (PTB/BA),"
Palácio do Planalto",,
2017,2,17,10:00,Despacho interno,,,
2017,2,20,09:30,Apresentação do Plano de Modernização e Desburocratização da Agricultura   e Solenidade de Lançamento do AGRO+SP ,"
WTC Teatro – Piso C (Auditório) – Avenida das Nações Unidas,   12.551 – São Paulo/SP",,
2017,2,20,17:00,Henrique Meirelles - Ministro de Estado da Fazenda,"
Palácio do Planalto",,
2017,2,20,17:30,"Deputado Baleia Rossi (PMDB/SP), Líder na Câmara","
Palácio do Planalto",,
2017,2,20,18:30,Raul Jungmann - Ministro de Estado da Defesa,"
Palácio do Planalto",,
2017,2,21,09:30,Reunião sobre os Aspectos da Segurança no Brasil e no Arco Norte da América do Sul,"
Palácio do Planalto",,
2017,2,21,11:00,Reunião com a Comissão de Reforma da Previdência,"
Palácio do Planalto",,
2017,2,21,15:00,"Henrique Meirelles, Ministro de Estado da Fazenda e Maria Silva Bastos Marques, presidente do BNDES","
Palácio do Planalto",,
2017,2,21,16:00,Senador Garibaldi Alves Filho (PMDB/RN),"
Palácio do Planalto",,
2017,2,21,18:00,"Deputado Alexandre Baldy (PTN/GO), Líder do PTN na Câmara dos Deputados e deputada Renata Abreu (PTN/SP)","
Palácio do Planalto",,
2017,2,21,18:30,"Guilherme Afif Domingos, presidente do Sebrae Nacional","
Palácio do Planalto",,
2017,2,22,10:00,Senador José Aníbal (PSDB/SP),"
Palácio do Planalto",,
2017,2,22,12:00,Cida Borghetti - vice-governadora do estado do Paraná,"
Palácio do Planalto",,
2017,2,22,13:00,Alexandre de Moraes - ministro da Justiça licenciado,"
Palácio do Planalto",,
2017,2,22,15:00,Senador Aécio Neves (PSDB/MG),"
Palácio do Planalto",,
2017,2,22,17:30,Roberto Freire - Ministro de Estado da Cultura,"
Palácio do Planalto",,
2017,2,22,20:15,José Serra - Ministro de Estado das Relações Exteriores,"
Palácio do Planalto",,
2017,2,23,09:30,Deputado Rodrigo Maia (DEM/RJ) - presidente da Câmara dos Deputados,"
Palácio do Planalto",,
2017,2,23,12:30,"Helder Barbalho, ministro da Integração Nacional","
Palácio do Planalto ",,
2017,2,23,12:45,"Senador Romero Jucá (PMDB/RR), líder do Governo no Congresso","
Palácio do Planalto ",,
2017,2,23,14:00,"Marcos Pereira, ministro da Indústria, Comércio Exterior e Serviços","
Palácio do Planalto ",,
2017,2,24,11:15,Osmar Terra - Ministro de Estado do Desenvolvimento Social e Agrário,"
Palácio do Planalto",,
2017,2,24,11:30,Deputado Lelo Coimbra (PMDB/ES),"
Palácio do Planalto",,
2017,2,24,13:00,Senador Edison Lobão (PMDB/MA),"
Palácio do Planalto",,
2017,2,24,14:30,"Dyogo Oliveira - Ministro interino do Planejamento, Desenvolvimento e Gestão","
Palácio do Planalto",,
2017,3,1,14:00,Despacho interno,,,
2017,3,2,10:00,Despachos internos,"
Palácio do Planalto",,
2017,3,2,10:30,"Ministra Grace Maria Mendonça, Advogada-Geral da União","
Palácio do Planalto",,
2017,3,2,11:10,"Senador Romero Jucá (PMDB/RR), líder do Governo no Congresso Nacional  ","
Palácio do Planalto",,
2017,3,2,15:00,Senador José Serra (PSDB/SP),"
Palácio do Planalto",,
2017,3,6,10:00,Despachos internos,,,
2017,3,6,11:40,"Senador Aécio Neves, PSDB MG","
Palácio do Planalto",,
2017,3,6,14:00,Marcos Pereira,"Ministro da Indústria, Comércio Exterior e Serviços",,
2017,3,6,15:00,Ministra Grace Maria Fernandes Mendonça,Advogada-Geral da União - AGU,,
2017,3,6,19:00,Reunião com líderes da Base aliada na Câmara e Ministros,"
Palácio da Alvorada",,
2017,3,7,09:00,46ª Reunião Plenária do Conselho de Desenvolvimento Econômico e Social - CDES,"
Palácio do Planalto",,
2017,3,7,14:50,"Geraldo Alckmin, governador do estado de São Paulo e Alexandre de Morais, ex-Ministro da Justiça e Segurança Pública","
Palácio do Planalto ",,
2017,3,7,15:20,Deputado Valtenir Pereira (PMDB/MT),"
Palácio do Planalto ",,
2017,3,7,15:30,"Cerimônia de Posse dos Ministros da Justiça e Segurança Pública, Osmar Serraglio, e das Relações Exteriores, Aloysio Nunes Ferreira.","
Palácio do Planalto",,
2017,3,7,16:30,Reunião do Conselho do Programa de Parcerias de Investimentos (CPPI),"
Palácio do Planalto",,
2017,3,7,17:30,"Desembargador Pedro Carlos Bitencourt Marcondes, Presidente do Conselho dos Tribunais de Justiça e presidentes dos Tribunais de Justiça dos Estados.","
Palácio do Planalto",,
2017,3,8,10:00,"Flavio Amary, presidente da SECOVI-SP -  Sindicato da Habitação e Diretoria","
Palácio do Planalto ",,
2017,3,8,11:00,"Fernando Coelho Filho, Ministro de Estado de Minas e Energia","
Palácio do Planalto ",,
2017,3,8,15:00,Cerimônia de Comemoração pelo Dia Internacional da Mulher,"
Palácio do Planalto ",,
2017,3,8,16:30,Senador Hélio José (PMDB/DF),"
Palácio do Planalto ",,
2017,3,8,17:30,"José Ivo Sartori, Governador do Rio Grande do Sul","
Palácio do Planalto ",,
2017,3,8,18:30,"Gilberto Kassab, Ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações","
Palácio do Planalto ",,
2017,3,9,10:00,"Torquato Jardim, Ministro da Transparência, Fiscalização e Controladoria-Geral da União","
Palácio do Planalto",,
2017,3,9,11:00,Cerimônia de Sanção da lei que confere à Cidade de Blumenau o título de Capital Nacional da Cerveja,"
Palácio do Planalto",,
2017,3,9,12:00,"José Melo de Oliveira, Governador do Estado do Amazonas e Deputado Pauderney Avelino (DEM/AM)","
Palácio do Planalto",,
2017,3,9,12:30,Senador José Agripino Maia (DEM/RN) e Deputado Mandetta (DEM/MS),"
Palácio do Planalto",,
2017,3,9,15:00,Senador Waldemir Moka (PMDB/MS),"
Palácio do Planalto",,
2017,3,9,16:00,Reunião com a Bancada da Base Aliada de Minas Gerais,"
Palácio do Planalto",,
2017,3,10,08:30,Embarque para Campina Grande/PB,"
Base Aérea de Brasília ",,
2017,3,10,11:30,Visita Complexo Multimodal Aluízio Campos e assinatura de Ordem   de Serviço para Adequação de Capacidade da BR-230 –Trecho  Cabedelo - Oitizeiro (João Pessoa),"
Campina Grande/PB",PB,
2017,3,10,13:40,Cerimônia de Abertura da Comporta do Reservatório de Campos,"
Sertânia/PE",PE,
2017,3,10,14:50,Chegada à ZPH em Monteiro,"
Monteiro/PB",PB,
