Tweet_id: 1113050653507629057 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 09:08:49 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Na Terra Santa (Israel) padre da Paraíba abençoa o Governo Jair Bolsonaro. pic.twitter.com/1aBIN2gJgk | hashtag: [] | url: {url} | replies: 1190 | retweet: 3756 | likes: 23211 | link: https://twitter.com/jairbolsonaro/status/1113050653507629057 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113034340513050624 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 08:04:00 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Hoje, nos reunimos com CEOs de empresas israelenses, além de investidores em startups e falamos sobre investimentos em um país que tem muito a oferecer em negócios. Algo que infelizmente não é tradição. Vamos cumprindo nosso papel e apresentando o verdadeiro Brasil para o mundo. pic.twitter.com/XF7OFdh1Dg | hashtag: [] | url: {url} | replies: 708 | retweet: 2941 | likes: 18116 | link: https://twitter.com/jairbolsonaro/status/1113034340513050624 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113002589833121793 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 05:57:50 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: O @Min_Agricultura , em parceria com outros ministérios, está preparando uma série de atividades de fomento à produção de orgânicos. Na última semana de maio, será realizada a 15ª edição da Semana Nacional dos Orgânicos, com o tema “Qualidade e Saúde: do Plantio ao Prato”. | hashtag: [] | url: {url} | replies: 319 | retweet: 2040 | likes: 17052 | link: https://twitter.com/jairbolsonaro/status/1113002589833121793 | is_retweet: None | user_rt: {user_rt} | mentions: ['Min_Agricultura'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113002302653239296 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 05:56:42 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Entre as ações do governo que tem impulsionado a produção de orgânicos no Brasil está a Política Nacional de Alimentação Escolar, que privilegiar o alimento produzido pela agricultura familiar do município. | hashtag: [] | url: {url} | replies: 194 | retweet: 2022 | likes: 17750 | link: https://twitter.com/jairbolsonaro/status/1113002302653239296 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113001805590511616 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 05:54:43 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: A ideia de estarmos desenvolvendo políticas de fomento para o desenvolvimento da agricultura orgânica, é para trazê-lo mais perto do consumidor, para que o produto seja o mais socializado e não alcance só um nicho de mercado daqueles consumidores que podem pagar mais caro. | hashtag: [] | url: {url} | replies: 128 | retweet: 964 | likes: 5695 | link: https://twitter.com/jairbolsonaro/status/1113001805590511616 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113001449192087552 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 05:53:18 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: A coordenação de produção orgânica do @Min_Agricultura (Mapa), tem buscado meios de dar suporte aos produtores para que eles consigam se regularizar, ampliar a oferta e, assim, reduzir o preço dos produtos orgânicos,  pois existe gigantesco potencial de alcance. | hashtag: [] | url: {url} | replies: 640 | retweet: 3191 | likes: 25327 | link: https://twitter.com/jairbolsonaro/status/1113001449192087552 | is_retweet: None | user_rt: {user_rt} | mentions: ['Min_Agricultura'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112866445657104386 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 20:56:51 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Nosso dia em Israel! 🇧🇷🌷🇮🇱 pic.twitter.com/nRiGGrY7k4 | hashtag: [] | url: {url} | replies: 1153 | retweet: 3795 | likes: 26211 | link: https://twitter.com/jairbolsonaro/status/1112866445657104386 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112828976014163968 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 18:27:57 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Assista o vídeo completo no youtube. Segue o link:  http://youtu.be/Ap7CpXqUFjs  https://twitter.com/carlosbolsonaro/status/1111998897499578371 … | hashtag: [] | url: {url} | replies: 477 | retweet: 3002 | likes: 13740 | link: https://twitter.com/jairbolsonaro/status/1112828976014163968 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112786292314697728 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 15:38:21 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: No dia 5/04 será realizado mais um leilão envolvendo 6 áreas portuárias: 5 em Belém e no Porto de Vila do Conde/PA. Investimentos previstos na casa dos R$ 430 mi, levando mais desenvolvimento e eficiência dos serviços para as regiões e para o Brasil. Detalhes em @portosdobrasil | hashtag: [] | url: {url} | replies: 789 | retweet: 3558 | likes: 24218 | link: https://twitter.com/jairbolsonaro/status/1112786292314697728 | is_retweet: None | user_rt: {user_rt} | mentions: ['portosdobrasil'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112743960055828481 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 12:50:08 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: - "Salomão pediu à Deus sabedoria... - Eu peço também coragem, para bem decidir em nome de vocês." - Jair Bolsonaro. pic.twitter.com/PXcAKGtqf5 | hashtag: [] | url: {url} | replies: 4104 | retweet: 8404 | likes: 53440 | link: https://twitter.com/jairbolsonaro/status/1112743960055828481 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
