"2016-06-14 10:30","Carlos Arthur Nuzman, presidente do Comitê Olímpico Brasíleiro","
Local: Parque Olímpico - Rio de Janeiro / RJ",
"2016-06-14 11:00","Visita ao Parque Olímpico","
Local: Rio de Janeiro / RJ",
"2016-06-14 11:30","Reunião de trabalho ","
Local: Parque Olímpico - Rio de Janeiro / RJ",
"2016-06-15 10:00","Reunião de Líderes da Câmara e do Senado","
Local: Palácio do Planalto",
"2016-06-15 12:00","Eduardo Pinho Moreira","Vice-governador de Santa Catarina",
"2016-06-15 15:00","Robinson Mesquita de Faria","Governador do Estado do Rio Grande do Norte",
"2016-06-15 15:30","Eduardo Alves do Amorim","Senador - PSC/SE",
"2016-06-15 16:30","Beto Richa","Governador do Paraná",
"2016-06-16 16:00","Ato de assinatura do edital do fundo de Financiamento Estudantil - FIES 2016, 2º semestre, para abertura de 70 mil vagas.","
Local: Palácio do Planalto, Salão Leste, 2º andar -",
"2016-06-16 17:00","Deputado Federal Leonardo Quintão, PMDB MG e membros da ANAJURE.","
Local: Palácio do Planalto, Salão Leste, 2º andar -",
"2016-06-16 17:30","Rodrigo Rollemberg, governador do Distrito Federal.","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-20 15:00","Governadores das unidades federativas do Brasil",
"2016-06-21 15:30","Deputado Federal Baleia Rossi, PMDB SP .","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-21 16:00"," Helder Barbalho","Ministro da Integração Nacional",
"2016-06-21 16:30","Henrique Meirelles, ministro da Fazenda.","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-21 17:30","André Puccinelli, ex-governador do Mato Grosso do Sul.","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-21 17:45","Deputado Federal Mauro Lopes, PMDB MG / Deputado Carlos Marun, PMDB MS.","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-21 18:00","Geddel Vieira Lima, Secretário de Governo.","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-21 19:00","José Serra, Ministro das Relações Exteriores e general Sérgio Etchegoyen.","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-21 19:20","Moreira Franco, secretário-executivo do Programa de Parcerias de Investimento.","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-21 19:30","Mendonça Filho, ministro da Educação.","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-22 10:30","Reunião com ministros do Núcleo Econômico.","
Local: Palácio do Planalto",
"2016-06-22 15:00","Cerimônia de posse do novo presidente do Instituto Brasileiro de Geografia e Estatística-IBGE, senhor Paulo Rabello de Castro","
Local: Palácio do Planalto",
"2016-06-23 09:00","Reunião com Núcleo Institucional","
Local: Palácio do Planalto",
"2016-06-23 12:00","Cerimônia de sanção da Lei que disciplina o processo e julgamento do mandado de injunção individual e coletivo","
Local: Palácio do Planalto",
"2016-06-23 15:00","Cerimônia de entrega de credenciais de embaixadores estrangeiros residentes em Brasília","
Local: Palácio do Planalto",
"2016-06-27 10:00","Reunião com ministros do Núcleo de Infraestrutura e Líderes do governo.","
Local: palácio do Planalto, 3ª andar",
"2016-06-28 10:00","Embarque para Telêmaco Borba/PR","
Local: Base Aérea de Brasília",
"2016-06-28 11:55","Chegada a Telêmaco Borba","
Local: Aeroporto Monte Alegre",
"2016-06-28 12:00","Inauguração da nova fábrica de celulose da Klabin","
Local: Ortigueira/PR",
"2016-06-28 13:45","Embarque para Brasília","
Local: Aeroporto Monte Alegre - Telêmaco Borba/PR",
"2016-06-28 15:20","Chegada a Brasília/DF","
Local: Base Aérea de Brasília",
"2016-06-29 10:30","Leonardo Picciani","Ministro do Esporte",
"2016-06-29 11:30","Cerimônia de anúncio de aumento do Bolsa Família e liberação de recursos para a Educação","
Local: Palácio do Planalto",
"2016-06-29 15:00","Líder Baleia Rossi (PMDB/SP) e Henrique Prata, diretor do Hospital do Câncer de Barretos/SP","
Local: Palácio do Planalto",
"2016-06-29 15:30","Deputado Jerônimo Goergen (PP/RS)","
Local: Palácio do Planalto",
"2016-06-30 11:00","Encontro com representantes da Confederação das Associações Comerciais e Empresariais do Brasil - CACB","
Local: Palácio do Planalto",
"2016-06-30 18:00","Recepção na Embaixada da Santa Sé em homenagem ao Papa Francisco","
Local: Sede da Nunciatura Apostólica, Embaixada da Santa Sé, Setor de Embaixadas Sul, Av. das Nações 801, Quadra 1 - Brasília/DF",
"2016-07-01 10:00","Cerimônia de restituição de competência aos Comandantes da Marinha, Exército e Aeronáutica","
Local: Palácio do Planalto",
"2016-07-04 09:00","Abertura Oficial do Global Agribusiness Forum 2016","
Local: Morumbi - São Paulo/SP",
"2016-07-04 15:00","Camilo Santana","Governador do estado do Ceará",
"2016-07-04 18:00","Henrique Meirelles","Ministro da Fazenda",
"2016-07-05 10:00","Senador Ricardo Ferraço (PSDB/ES) e Senador Magno Malta (PR/ES)","
Local: Palácio do Planalto",
"2016-07-05 10:30","Senador Ciro Nogueira (PP/PI)","
Local: Palácio do Planalto",
"2016-07-05 11:00","Bancada Federal do Partido Popular Socialista – PPS","
Local: Palácio do Planalto",
"2016-07-05 15:00","Renan Calheiros, Presidente do Senado Federal, Senador Otto Alencar (PSD/BA), Senador Ataídes Oliveira (PSDB/TO)","
Local: Palácio do Planalto",
"2016-07-05 16:00","Deputado Mauro Mariani (PMDB/SC)","
Local: Palácio do Planalto",
"2016-07-05 17:00","Renata Bueno, deputada do Parlamento italiano e delegação italiana","
Local: Palácio do Planalto",
"2016-07-06 15:00","Senador Valdir Raupp (PMDB/RO) e bancadas federais dos estados de Rondônia e Acre","
Local: Palácio do Planalto",
"2016-07-06 16:00","Senador Eduardo Lopes, líder do PRB no Senado e membros da Associação Brasileira de Mídias Evangélicas - ABME","
Local: Palácio do Planalto",
"2016-07-06 17:30","Bernardo Pinto Paiva - presidente da Ambev","
Local: Palácio do Planalto",
"2016-07-06 19:30","Senadora Rose de Freitas, líder do governo no Congresso, Senador Romero Jucá (PMDB/RR), Senador Wellington Fagundes (PR/MT), Deputado Arthur de Lira (PP/AL)","
Local: Palácio do Planalto",
"2016-07-07 10:00","Deputado Benito Gama (PTB/BA)","
Local: Palácio do Planalto",
"2016-07-07 10:30","Deputado Ricardo Tripoli (PSDB/SP)","
Local: Palácio do Planalto",
"2016-07-07 11:30","Marcelo Porto - Presidente da IBM do Brasil","
Local: Palácio do Planalto",
"2016-07-07 16:00","Alarico Assumpção Júnior - Presidente da Federação Nacional da Distribuição de Veículos Automotores - Fenabrave","
Local: Palácio do Planalto",
"2016-07-07 17:00","Osmar Terra - Ministro de Estado do Desenvolvimento Social e Agrário","
Local: Palácio do Planalto",
"2016-07-07 18:30","Gilberto Kassab - Ministro da Ciência, Tecnologia, Inovações e Comunicações","
Local: Palácio do Planalto",
"2016-07-07 19:00","Helder Barbalho - Ministro da Integração Nacional","
Local: Palácio do Planalto",
"2016-07-07 20:00","Fernando Coelho Filho - Ministro de Minas e Energia","
Local: Palácio do Planalto",
"2016-07-08 10:00","Reunião do Comitê de Líderes da Mobilização Empresarial pela Inovação (MEI)","
Local: CNI - Brasília/DF",
"2016-07-08 15:00","Robson Rodovalho - Presidente da Confederação dos Conselhos de Pastores do Brasil - CONCEPAB","
Local: Palácio do Planalto",
"2016-07-11 11:00","Deputado José Carlos Aleluia (PSDB/BA) e Deputado Rubens Bueno (PPS/PR)","
Local: Palácio do Planalto",
"2016-07-11 12:35","Henrique Meirelles, ministro da Fazenda e Maurício Quintella, ministro dos Transportes, Portos e Aviação Civil","
Local: Palácio do Planalto",
"2016-07-11 14:35","Deputado Pauderney Avelino (DEM/AM)","
Local: Palácio do Planalto",
"2016-07-11 16:00","Mendonça Filho, ministro da Educação; senador Cristovam Buarque (PPS/DF); Paulo Rogério Cafarelli, presidente do Banco do Brasil; Gilberto Occhi, presidente da Caixa Econômica Federal e Guilherme Campos, presidente dos Correios","
Local: Palácio do Planalto",
"2016-07-11 18:30","Senador Hélio José (PMDB/DF)","
Local: Palácio do Planalto",
"2016-07-12 12:30","Almoço com a Frente Parlamentar Agropecuária (FPA)","
Local: Brasília/DF",
"2016-07-12 16:00","Bancada do Rio Grande do Sul no Congresso Nacional","
Local: Palácio do Planalto",
"2016-07-12 16:30","Reunião com Ministros do Núcleo Social","
Local: Palácio do Planalto",
"2016-07-13 10:00","Senador Benedito de Lira (PP/AL)","
Local: Palácio do Planalto",
"2016-07-13 10:30","Confederação Nacional de Municípios","
Local: Palácio do Planalto",
"2016-07-13 11:30","Cerimônia de apresentação da Delegação de Atletas Olímpicos","
Local: Palácio do Planalto",
"2016-07-13 16:00","Senador Davi Alcolumbre (DEM/AP) e Waldez Góes (PDT/AP), governador do Amapá","
Local: Palácio do Planalto",
"2016-07-13 19:30","Marcos Pereira - Ministro da Indústria, Comércio Exterior e Serviços","
Local: Palácio do Planalto",
"2016-07-14 10:27","Marcelo Calero - Ministro da Cultura","
Local: Palácio do Planalto",
"2016-07-14 10:50","Senador Telmário Mota (PDT/RR) e Senador Zezé Perrella (PTB/MG)","
Local: Palácio do Planalto",
"2016-07-14 11:06","Cerimônia de anúncio de nova norma do Programa Minha Casa Minha Vida","
Local: Palácio do Planalto",
"2016-07-14 11:20","Deputado André Moura, (PSC/SE), Líder do governo na Câmara dos Deputados e senadores Eduardo Amorim (PSC/SE) e Antônio Carlos Valadares (PSB/SE)","
Local: Palácio do Planalto",
"2016-07-14 12:06","Rodrigo Maia (DEM/RJ), presidente da Câmara dos Deputados e Renan Calheiros, presidente do Senado (PMDB/AL)","
Local: Palácio do Planalto",
"2016-07-14 12:55","Senadora Rose de Freitas (PMDB/ES)","
Local: Palácio do Planalto",
"2016-07-14 15:00","Presidentes das Assembleias Legislativas Estaduais e Distrital","
Local: Palácio do Planalto",
"2016-07-15 16:00","Eliseu Padilha, Almirante-de-Esquadra Ademir Sobrinho, General Sérgio Westphalen Etchegoyen","Ministro-Chefe da Casa Civil da Presidência da República, Chefe do Estado-Maior das Forças Armadas - Ministério da Defesa, Ministro de Estado Chefe do Gabinete de Segurança Institucional da Presidência da República",
"2016-07-15 18:24","Henrique Meirelles, Ministro da Fazenda e Eliseu Padilha, Ministro-Chefe da Casa Civil","
Local: Palácio do Planalto",
"2016-07-18 10:00","Despachos internos",
